id,department_id,name,description,icon,gradient,featured_at,created_at,updated_at,slug
31,1,Research Computing- Duke Systems,Duke-specific research computing track. Learn about the Duke Computer Cluster and containers.,FaBox,1,,2022-08-17 23:54:45.568879,2023-11-21 15:08:44.221093,Research-Computing--Duke-Systems
32,1,Gaming Development, Check out our Gaming Development track and get started on your journey to creating and coding for games! Get some knowledge about Unity and C# and game away!,FaGamepad,1,,2022-08-17 23:57:03.037426,2023-11-21 15:08:44.240890,Gaming-Development
33,1,Intro to VR,A whole new world! Check out our VR track and get transported to a new reality with VR!,FaPhotoVideo,1,,2022-08-18 00:11:21.746825,2023-11-21 15:08:44.261339,Intro-to-VR
34,1,Systems and Security,"The objective of system security is the protection of information and property from theft, corruption and other types of damage, while allowing the information and property to remain accessible and productive. System security includes the development and implementation of security countermeasures.",FaUnlockAlt,1,,2022-08-18 00:22:28.363010,2023-11-21 15:08:44.281016,Systems-and-Security
35,1,Illustrator,"Whether you have never opened Illustrator before or you haven’t seen its interface in a long time, this class is a great introduction to the program. This workshop will familiarize you with the different tools that you can later use to create anything from logos, to flyers, to convert rasters into vectors and so on.",FaPaintBrush,1,,2022-08-18 00:26:10.787944,2023-11-21 15:08:44.298374,Illustrator
36,1,InDesign,"If you've never seen Adobe InDesign and want to get more familiar with the tools before taking another Roots workshop about creating with InDesign, complete this track. We will also go over how to create a document layout and get some practice with different projects. ",FaNewspaper,1,,2022-08-18 00:30:30.111732,2023-11-21 15:08:44.318869,InDesign
37,1,Creating a Website,"If you have always wanted to create a nice looking website to display some information about you or something you care about, this is the track for you! Whether you are a complete beginner or you have already made a few web pages, you should find something new to learn here. This track concentrates on Front End development (HTML/CSS/JavaScript) which is, in basic terms, what the users see when they load up your site. Take on our Create a Website classes if you are just starting and code your very first website, while learning the various concepts and features of the web languages, or look into our CSS Deep Dives for more advanced learning opportunities!",FaPager,1,,2022-08-18 00:37:12.301934,2023-11-21 15:08:44.338028,Creating-a-Website
38,1,All About CSS for the Web,"So you have created an HTML file, and it holds all your content, but it's lacking inspiration. It is time to add color to your world! In this second class in our Create a Website series, we are introducing a new language: CSS. CSS is the styling language for the web and it can make ""most"" of our web styling related dreams come true! With that said, CSS is a vast language with loads of possibilities and just like with everything, we must start small to one day go big. ",FaLaptopCode,1,,2022-08-18 00:42:58.429576,2023-11-21 15:08:44.361136,All-About-CSS-for-the-Web
39,1,All about JavaScript,"JavaScript is not only the coffee order you've been rehearsing in your head so that you can quickly tell the barista your order, it's also a programming language that can make web pages interactive. It can animate images, control multimedia, and improves your users' interaction with your web page. ",FaCoffee,1,,2022-08-18 01:11:27.271017,2023-11-21 15:08:44.380125,All-about-JavaScript
40,1,Create a No Code Website,"Want to create a website to show off your work, but don't have the technical skills to do so? Learn how to create a website without having to code!",FaAtlas,1,,2022-08-18 01:16:58.479801,2023-11-21 15:08:44.396598,Create-a-No-Code-Website
41,1,Co-Lab Machines,Want to start creating someting but not really sure how to use the tools in the makerspace? This track focuses on tutorials for how to use our machines. ,FaTools,1,,2023-01-26 15:09:18.571796,2023-11-21 15:08:44.420190,Co-Lab-Machines
42,7,Introduction to Data Science with R,"In this pathway, you will learn how to use the R programming language to perform exploratory data analysis and visualization. 
Each module is designed for beginners with little to no prior experience in R or data science. By the end of this pathway, you will have the foundational knowledge and skills needed to start using R for data science and continue to develop your skills in this field. If you're ready to take the first step in your data science journey and learn R, let's get started!",FaLaptopCode,1,2023-02-01 18:47:53.284166,2023-02-01 18:47:11.654132,2023-11-21 15:08:44.436685,Introduction-to-Data-Science-with-R
43,6,Printmaking,Learn how to make prints. ,FaPrint,1,2023-02-02 16:02:53.151951,2023-02-02 15:33:10.640453,2023-11-21 15:08:44.453370,Printmaking
44,6,Sewing and Embroidery,Needle and thread can make anything beautiful. Learn how to sew and embroider!,FaShoppingBag,1,2023-02-02 16:02:53.499113,2023-02-02 15:35:38.317930,2023-11-21 15:08:44.470253,Sewing-and-Embroidery
45,1,Physical Computing,"Thanks to Raspberry Pi's, Arduino's and the ""Internet of Things"", computing is no longer constrained to just touchscreens, keyboards, and mice. From robotics to data collection devices, learn the basics of using embedded devices and microcontrollers to create interactive experiences and control the physical world.",FaMicrochip,1,,2023-04-21 00:26:16.236800,2023-11-21 15:08:44.485202,Physical-Computing
46,1,Code+,Pathway for all Co-Lab Code+ Training,FaPlus,1,,2023-04-25 16:57:17.756856,2023-11-21 15:08:44.507242,Code+
47,7,Computational Reproducibility,"Welcome to a comprehensive course on Computational Reproducibility in Data Science! In today's rapidly evolving research landscape, the importance of transparent and reproducible research practices cannot be overstated. This course is designed to equip you with the knowledge and skills necessary to ensure the integrity of your data science projects through every stage of research. By combining three essential modules, this course empowers you to create a robust and transparent research environment. 

By the end of this course you will be able to: 

1. Engage with the topic of reproducibility and its impact on research and scholarly inquiry.
2. Identify tools and resources that you can use to support reproducible research practices.
3. Practice setting up a data science workflow using R and Git.
",FaDesktop,1,,2023-08-30 18:14:14.867764,2023-11-21 15:08:44.524502,Computational-Reproducibility
