id,department_id,name,url,description,capacity,created_at,updated_at
13,6,Arts Annex Screen Printing Studio,https://maps.duke.edu/?focus=239,"The hub of Duke's student art scene, the Arts Annex is home to rehearsal, studio, and programming spaces for student artists and organizations. The Annex houses its own screen printing studio and dark room, accessible past the restrooms in the building.  ",15,2023-02-01 04:00:04.584919,2023-02-01 04:23:52.077532
14,6,Arts Annex Ceramics Studio,https://maps.duke.edu/?focus=239,"The Arts Annex is a hub of Duke’s student art scene and houses studio arts (including ceramics, screen printing, and visual arts), rehearsal, and programming spaces. We strive to build a vibrant community by providing resources, programming, and a welcoming environment that inspires self-expression, exploration and collaboration. Throughout the academic year, the Arts Annex hosts the  DukeCreate workshop series  and welcomes student groups and programs. Admission and materials are free to all current Duke students.",12,2023-02-01 04:23:11.577964,2023-02-01 04:23:11.577964
15,6,Duke Arts House,https://maps.duke.edu/?focus=360,"This former faculty home now serves as admin offices for Marketing&Communications, Programming ,and Production teams at Duke Arts. DukeCreate workshops will be held in the building's conference room after-hours. ",15,2023-02-01 04:23:30.421802,2023-02-01 04:23:30.421802
16,6,The Ark,https://maps.duke.edu/?focus=162,The Ark is primarily used for dance classes and student production rehearsals and will play host to a few of the movement workshops that DukeCreate holds. ,20,2023-02-01 04:23:42.502776,2023-02-01 04:23:42.502776
17,6,Arts Annex Screen Printing Studio,https://maps.duke.edu/?focus=239,"The hub of Duke's student art scene, the Arts Annex is home to rehearsal, studio, and programming spaces for student artists and organizations. The Annex houses its own screen printing studio and dark room, accessible past the restrooms in the building.  ",15,2023-02-01 04:23:52.637309,2023-02-01 04:23:52.637309
18,6,The Ruby Room 124,https://maps.duke.edu/?focus=351,"The Rubenstein Arts Center is a hub for artistic production at Duke University and a new arts venue for the Triangle. Students, faculty, visiting artists, and other collaborators come together in flexible project studios to hone their skills and create new work. Public programs—including performances, film screenings and exhibitions—launch this work into the world. The Ruby is also home to the programs in Dance and Cinematic Arts and WXDU 88.7 FM, Duke’s student-run radio station.",20,2023-03-24 17:10:08.670197,2023-04-14 12:34:32.331937
19,6,"Rubenstein Arts Center, von der Heyden Studio Theater",https://artscenter.duke.edu/studio-theater/,"The von der Heyden Studio Theater supports a wide variety of performances unlike any other venue on Duke’s campus. A moveable platform with 108 seats can be pulled out from the west wall and an additional 40+ seats can be added on the main floor or along the mezzanine level, allowing for end-stage (proscenium), thrust, or in-the-round configurations. The theater features a tension wire lighting grid that allows lights to be easily set and focused over any spot. Built-in projection supports highly visual or technical performances, or the blackout shades on the theater’s north-facing windows can open to let in a flood of natural light.",50,2023-04-11 20:13:38.567547,2023-04-11 20:13:38.567547
20,1,tbd,https://pathways.duke.edu/,location will be confirmed at a later date.,60,2023-05-11 17:52:10.759633,2023-05-11 17:52:10.759633
21,1,270 Gross Hall,https://maps.duke.edu/?focus=203,"Conference Room, Lecture Room",50,2023-05-11 19:40:15.672479,2023-05-11 19:40:15.672479
22,1,103 Gross Hall,https://maps.duke.edu/?focus=203,Auditorium,99,2023-05-11 19:41:41.422433,2023-05-11 19:41:41.422433
23,6,Duke Campus Farm,https://farm.duke.edu/,"4934 Friends School Rd, Durham, NC 27705",50,2023-05-24 13:39:30.159396,2023-05-24 13:39:30.159396
24,6,Rubenstein Library Room 349,https://maps.duke.edu/?focus=351,Library Room 349 in the Rubenstein Arts Center,,2023-09-13 14:24:33.449220,2023-09-13 14:24:33.449220
25,6,"Bryan Center, CSGD",https://maps.duke.edu/?focus=96,The CSGD is located inside the Bryan Center.,,2023-09-15 15:22:57.418303,2023-09-15 15:22:57.418303
26,6,Rubenstein Arts Center Room 131,https://maps.duke.edu/?focus=351,Room 131 in the Ruby,30,2023-09-21 14:07:11.402582,2023-09-21 22:23:30.315152
27,6,Rubenstein Arts Center Gallery,https://maps.duke.edu/?focus=351,The gallery in the Ruby,20,2023-09-21 14:07:37.560104,2023-09-21 22:21:26.160887
28,6,Rubenstein Arts Center Room 235,https://maps.duke.edu/?focus=351,Room 235 in the Ruby,,2023-09-21 14:08:07.944668,2023-09-21 14:08:07.944668
29,6,Student Wellness Center Room 144,https://maps.duke.edu/?focus=348,Room 144 in the Student Wellness Center,,2023-09-21 14:08:47.064535,2023-09-21 14:08:47.064535
30,1,TEC Project Room,https://maps.duke.edu/?focus=206,Project Room 131 at the TEC,5,2023-10-11 18:02:04.014353,2023-10-11 18:02:04.014353
31,6,Duke Gardens ,https://gardens.duke.edu/,Duke Gardens ,30,2023-10-13 15:31:10.032042,2023-10-13 15:31:10.032042
32,7,YouTube,https://www.youtube.com/@computationalthinking,CCT's YouTube Channel,999,2023-10-18 18:19:25.936596,2023-10-23 22:45:03.559863
